partei,stimmen,sitze
NSDAP,6406379,107
SPD,8575244,143
KPD,4590160,77
Z,4127000,68
DNVP,2457686,41
BVP,1058637,19
DVP,1658915,30
CSV,869595,14
DStP,1322034,20
Sonst,945267,4
WP,1380428,23
